"id","credit","duration","total","scans","voidedScans","attemptsWoScan","modifiedQuantities","fraud"
636,"Low",376,75.94,18,3,3,5,0
637,"High",1433,54.78,14,2,9,2,0
638,"Low",402,85.63,3,3,1,2,0
639,"High",1152,38.67,12,1,5,4,0
640,"High",639,12.6,20,10,0,2,0
641,"High",266,60.64,21,0,7,3,0
642,"Low",1694,30.3,21,10,2,3,1
643,"High",1371,5.53,19,7,9,5,0
644,"Low",1567,18.76,23,11,10,0,1
645,"High",757,15.65,21,2,9,0,0
646,"Low",51,84,13,2,9,3,0
647,"High",1657,69.69,17,3,8,4,0
648,"Low",259,76.17,14,7,1,2,0
649,"High",1273,48.75,10,7,5,1,0
650,"Low",1753,69.53,29,6,10,4,1
651,"Low",415,66.19,9,1,2,4,0
652,"Low",1211,84.05,7,10,6,1,0
653,"High",219,83.6,9,7,6,3,0
654,"High",455,94.97,27,0,5,5,0
655,"Low",773,89.27,14,3,7,3,0
656,"Low",1593,26.19,24,0,5,3,1
657,"High",808,86.85,15,3,3,3,0
658,"Low",228,17.24,15,0,10,3,0
659,"Low",100,24.5,19,8,7,3,0
660,"High",326,4.53,17,11,6,1,0
661,"Low",1376,67.72,7,5,6,4,0
662,"Low",1210,44.91,30,0,10,0,1
663,"Low",1731,59.52,2,7,8,2,0
664,"High",178,95.41,24,7,8,2,0
665,"Low",208,37.76,5,0,7,4,0
666,"Low",557,55.85,6,4,5,4,0
667,"High",1617,35.74,28,4,1,0,0
668,"Low",1400,46.34,3,8,9,5,0
669,"High",1197,67.72,23,1,10,1,0
670,"High",994,51.18,4,9,10,4,0
671,"Low",1262,78.4,1,7,0,1,0
672,"High",398,13.64,21,8,10,0,0
673,"High",43,75.29,22,4,9,3,0
674,"Low",582,87.12,26,4,1,1,0
675,"Low",356,60.81,14,11,0,2,0
676,"High",360,14.17,16,1,0,4,0
677,"High",369,12.99,21,10,2,3,0
678,"High",1501,19.72,28,5,9,3,1
679,"Low",1382,71.71,3,5,6,2,0
680,"Low",1128,10.15,9,9,5,3,0
681,"High",1466,93.8,11,1,7,2,0
682,"Low",643,96.72,7,10,5,4,0
683,"Low",826,31.93,20,7,4,5,0
684,"High",776,4.59,7,7,10,3,0
685,"High",1742,40.56,12,1,10,5,0
686,"Low",69,77.4,22,9,5,2,0
687,"Low",1475,98.21,30,9,5,1,1
688,"Low",40,36.57,25,4,3,3,0
689,"Low",1614,84.19,30,7,0,2,1
690,"Low",233,13.59,17,2,3,5,0
691,"Low",1034,50.46,15,10,7,3,0
692,"Low",1339,88.41,13,9,6,5,0
693,"High",227,5.3,8,1,4,2,0
694,"Low",851,85.82,13,3,8,5,0
695,"Low",451,92.6,12,1,8,0,0
696,"High",1205,76,5,7,7,0,0
697,"Low",645,4.8,24,2,5,3,0
698,"High",1153,64.37,19,11,4,1,0
699,"High",1267,30.81,14,8,4,3,0
700,"Low",1314,2.19,30,0,7,2,1
701,"Low",1082,12.59,6,6,1,1,0
702,"Low",1600,54.66,5,4,2,5,0
703,"Low",1012,93.81,3,8,5,4,0
704,"Low",244,26.72,3,9,10,3,0
705,"Low",117,29.62,30,8,6,1,1
706,"Low",1802,46.71,8,4,7,4,0
707,"High",1544,55.76,2,9,5,1,0
708,"High",626,81.09,12,5,1,1,0
709,"High",492,48.26,21,1,7,3,0
710,"High",1607,28.01,30,11,5,2,1
711,"Low",1102,96.07,6,5,7,4,0
712,"Low",1519,43.63,15,0,4,5,0
713,"High",544,14.6,25,6,0,3,0
714,"High",1445,39.29,12,9,7,2,0
715,"High",1174,66.96,10,1,9,0,0
716,"Low",1367,38.28,4,0,8,3,0
717,"Low",1270,39.83,2,5,6,3,0
718,"High",579,5.93,28,9,3,4,0
719,"Low",1106,37.6,24,10,2,4,1
720,"High",1701,11.81,2,2,6,2,0
721,"Low",1757,60.95,23,11,5,4,1
722,"High",890,67.72,24,9,2,5,0
723,"Low",1065,39.17,3,2,3,5,0
724,"High",1377,4.49,18,9,0,4,0
725,"High",217,54.71,16,7,10,0,0
726,"High",376,55.02,30,7,5,3,0
727,"Low",969,65.73,6,3,2,4,0
728,"High",1298,56.57,24,7,3,2,0
729,"High",678,0.09,22,4,0,0,0
730,"High",760,45.2,27,0,9,4,0
731,"High",354,59.55,17,5,9,5,0
732,"Low",494,49.71,26,7,2,5,1
733,"Low",447,90.37,16,6,10,3,0
734,"Low",1298,84.74,22,9,5,0,1
735,"High",9,62.13,24,1,7,4,0
736,"Low",1119,60.93,7,0,1,3,0
737,"Low",1,86.63,15,9,1,1,0
738,"High",33,15.51,20,11,8,0,0
739,"Low",934,34.35,2,4,9,0,0
740,"High",689,85.74,3,0,2,2,0
741,"High",885,39.7,24,3,5,2,0
742,"High",780,85.37,8,6,0,1,0
743,"High",565,0.6,29,2,9,2,0
744,"High",1167,90.2,26,1,2,5,0
745,"Low",401,44.89,5,2,1,0,0
746,"High",550,88.42,9,9,1,3,0
747,"High",1184,83.23,11,9,6,1,0
748,"High",852,86.81,26,7,2,0,0
749,"Low",901,33.12,26,7,2,1,1
750,"Low",742,36.36,15,11,6,2,0
751,"High",1333,30.33,9,5,6,0,0
752,"High",1684,44.73,28,9,9,0,1
753,"Low",1087,75.7,5,10,3,2,0
754,"Low",1125,4.16,2,4,9,2,0
755,"High",1427,6.95,20,2,10,4,0
756,"High",519,64.8,14,0,6,1,0
757,"High",1714,2.47,17,9,0,4,0
758,"Low",759,19.76,12,8,3,4,0
759,"High",896,63.43,16,11,10,0,0
760,"High",439,33.48,10,0,0,2,0
761,"Low",584,69,8,11,0,2,0
762,"High",431,62.33,21,7,8,5,0
763,"High",1373,77.24,20,6,2,2,0
764,"High",567,87.19,16,1,0,2,0
765,"High",1080,46.07,17,11,1,1,0
766,"Low",1713,26.36,1,0,6,1,0
767,"Low",1426,17.07,15,1,3,3,0
768,"Low",408,70.86,7,7,0,1,0
769,"Low",1801,53.22,18,9,0,5,0
770,"High",546,96.05,30,6,6,2,0
771,"Low",899,69.28,26,7,6,0,1
772,"High",647,62.64,19,1,7,4,0
773,"Low",1470,51.45,19,10,2,1,0
774,"Low",1402,26.1,19,10,7,3,1
775,"High",1238,18.48,8,8,1,3,0
776,"High",925,22.82,24,5,8,3,0
777,"High",727,95.06,21,5,5,2,0
778,"Low",1677,72.93,15,3,2,1,0
779,"High",576,34.03,14,0,4,2,0
780,"High",1727,51.02,24,10,4,3,0
781,"High",1794,31.59,5,0,5,4,0
782,"Low",711,87.8,19,7,4,3,0
783,"Low",1244,87.52,20,4,9,4,1
784,"Low",1290,23.23,13,7,10,3,0
785,"Low",1600,51.01,10,2,10,2,0
786,"High",873,99.01,25,4,0,0,0
787,"Low",1161,54.33,3,0,7,5,0
788,"Low",991,53.75,14,0,7,2,0
789,"Low",954,68.52,20,4,6,2,0
790,"Low",265,7.26,17,4,10,1,0
791,"High",1316,99.05,23,1,2,3,0
792,"High",366,80.55,21,3,7,3,0
793,"High",42,24.83,19,9,3,4,0
794,"Low",346,59.05,18,6,1,1,0
795,"High",418,63.29,8,9,9,3,0
796,"High",528,32.74,23,9,2,4,0
797,"High",3,39.84,6,7,1,2,0
798,"High",1037,71.16,12,10,7,1,0
799,"High",760,56.73,8,11,9,1,0
800,"High",113,71.6,30,3,6,3,0
801,"High",492,52.99,18,0,7,5,0
802,"Low",618,76.71,13,8,0,5,0
803,"High",1644,51.14,24,8,4,2,0
804,"High",93,28.81,12,11,8,4,0
805,"Low",1675,51.52,8,11,0,1,0
806,"High",1755,60.96,20,8,4,0,0
807,"High",1634,9.95,8,1,9,0,0
808,"High",10,69.94,30,2,10,1,0
809,"High",704,11.38,16,11,3,0,0
810,"High",1363,73.59,5,11,5,5,0
811,"Low",1066,67.82,6,1,8,4,0
812,"High",340,83.45,22,6,1,1,0
813,"Low",1113,45.69,9,11,6,1,0
814,"High",436,5.97,2,3,4,0,0
815,"Low",313,86.56,6,4,0,3,0
816,"Low",830,89.4,16,10,2,4,0
817,"High",718,22.58,27,3,1,0,0
818,"High",452,66.11,20,11,10,2,0
819,"High",1753,71.53,23,5,2,2,0
820,"Low",1343,0.72,17,3,9,1,0
821,"High",1739,46.39,19,10,9,2,0
822,"High",211,24.06,14,1,4,3,0
823,"High",425,62.71,4,2,10,0,0
824,"Low",999,23.76,24,2,2,1,0
825,"Low",318,44.56,19,8,1,5,0
826,"High",736,58.12,26,1,1,3,0
827,"Low",1562,29.93,17,1,10,4,0
828,"Low",1734,88.81,30,9,9,5,1
829,"Low",752,49.3,4,1,2,4,0
830,"Low",817,62.28,6,8,8,5,0
831,"High",1400,12.55,22,11,2,0,0
832,"High",343,20.41,24,6,9,0,0
833,"Low",585,6.53,29,2,10,1,1
834,"Low",1526,3.03,18,9,7,4,0
835,"Low",1828,91.33,29,8,10,5,1
836,"High",200,18.71,19,4,3,4,0
837,"Low",1717,61.09,2,4,3,1,0
838,"Low",1501,18.46,10,0,6,4,0
839,"High",1633,41.87,25,11,8,4,1
840,"High",1560,80.9,10,11,8,0,0
841,"Low",170,88.31,4,9,6,5,0
842,"Low",248,63.06,5,11,7,4,0
843,"High",836,37.47,26,7,3,1,0
844,"High",952,84.81,17,2,4,5,0
845,"Low",1829,76.87,30,6,3,2,1
846,"High",1415,36.5,7,3,6,2,0
847,"Low",1820,45.67,5,0,4,2,0
848,"Low",685,25.67,24,3,6,2,0
849,"High",26,83.98,9,0,6,3,0
850,"High",394,54.59,13,2,2,5,0
851,"Low",42,46.8,3,2,10,0,0
852,"Low",73,74.67,14,4,3,0,0
853,"Low",138,86.48,28,7,8,2,1
854,"High",1760,18.34,27,9,7,1,1
855,"Low",789,7.44,11,1,2,4,0
856,"Low",1463,15.77,13,3,0,5,0
857,"High",1245,14.64,2,3,10,4,0
858,"Low",1364,9.31,3,9,10,3,0
859,"High",1041,84.93,6,11,2,5,0
860,"Low",1398,45.25,18,5,10,2,0
861,"Low",1613,33.87,18,3,9,5,0
862,"Low",820,23.05,24,0,2,1,0
863,"High",1094,94.49,3,6,5,5,0
864,"High",978,15.15,9,7,9,1,0
865,"Low",1751,44.21,1,8,10,2,0
866,"Low",1688,62.75,16,9,1,0,0
867,"High",1686,20.77,21,5,4,2,0
868,"Low",312,8.11,18,6,10,4,0
869,"High",1698,29.12,29,3,2,0,1
870,"High",55,79.33,19,10,4,3,0
871,"High",1036,66.7,7,6,0,2,0
872,"High",820,39.99,4,11,8,0,0
873,"Low",1197,93.83,24,3,2,3,0
874,"High",1632,36.54,2,6,5,4,0
875,"High",1611,49.08,26,3,9,3,1
876,"High",620,68.61,28,1,0,1,0
877,"High",892,66.74,27,1,6,3,0
878,"Low",1502,52.28,23,7,7,1,1
879,"High",1589,41.87,30,10,9,4,1
880,"Low",245,78.41,1,2,9,4,0
881,"Low",321,36.36,1,0,2,4,0
882,"High",779,68.96,16,6,2,0,0
883,"Low",1173,65.2,27,0,3,0,1
884,"Low",70,13.86,25,7,5,2,0
885,"High",860,8.89,4,5,6,2,0
886,"Low",638,4.24,26,2,1,5,0
887,"High",857,18.46,4,6,8,3,0
888,"Low",1195,39.58,8,8,6,4,0
889,"Low",465,26.6,21,1,5,2,0
890,"Low",1220,13.15,3,9,4,4,0
891,"Low",1522,89.12,20,11,0,4,0
892,"High",1129,35.13,14,0,3,4,0
893,"High",401,61.85,22,10,4,3,0
894,"Low",1665,16.04,10,9,6,5,0
895,"High",218,15.25,24,4,8,4,0
896,"Low",236,58.08,22,7,7,4,0
897,"High",1263,90.49,17,8,3,3,0
898,"High",1491,90.74,22,7,9,4,0
899,"Low",1252,80.45,10,4,8,0,0
900,"High",849,20.64,18,0,4,5,0
901,"Low",649,79.67,21,4,6,4,0
902,"High",1751,52.41,12,2,9,3,0
903,"Low",1089,63.35,10,2,7,1,0
904,"Low",1004,65.81,23,9,8,3,1
905,"High",1471,52.78,14,10,4,2,0
906,"High",172,87.21,25,3,6,2,0
907,"High",811,73.8,13,7,4,5,0
908,"Low",928,61.58,8,8,7,3,0
909,"High",332,61.63,14,0,7,3,0
910,"High",1802,57.11,6,5,1,5,0
911,"Low",1569,26.79,18,3,6,3,0
912,"Low",1749,53.43,2,6,2,1,0
913,"Low",1026,80.19,2,1,5,5,0
914,"Low",1453,17.77,22,9,10,2,1
915,"Low",1206,37,11,7,5,5,0
916,"Low",565,9.35,21,4,4,0,0
917,"Low",1196,50.96,25,7,1,1,1
918,"Low",1615,71.35,15,0,1,0,0
919,"Low",359,23.98,7,7,4,1,0
920,"High",504,97.19,20,0,4,4,0
921,"Low",861,33.96,13,3,10,3,0
922,"High",1163,8.4,25,2,6,3,0
923,"High",937,28.39,9,3,5,4,0
924,"Low",1114,57.86,5,8,8,0,0
925,"Low",1132,68.47,28,3,5,1,1
926,"High",1596,42.31,10,8,4,0,0
927,"High",1068,16.11,15,11,10,3,0
928,"High",1374,48.08,30,10,10,5,1
929,"High",1776,16.25,30,0,7,2,1
930,"High",113,9.88,2,8,2,1,0
931,"High",486,96.96,20,11,6,1,0
932,"Low",224,43.1,8,5,10,4,0
933,"Low",652,36.72,9,8,5,1,0
934,"High",1313,34.58,20,4,6,3,0
935,"High",381,71.46,14,6,2,1,0
936,"High",606,99.71,20,10,2,2,0
937,"High",1389,81.33,29,1,8,5,1
938,"High",232,42.46,4,1,4,2,0
939,"Low",510,0.81,11,1,9,1,0
940,"High",425,89.3,7,4,0,4,0
941,"Low",879,0.46,5,10,7,1,0
942,"Low",137,3.5,2,2,1,0,0
943,"Low",1480,9.84,9,11,10,5,0
944,"Low",1702,22.65,28,7,9,5,1
945,"Low",1283,56.3,1,3,7,4,0
946,"Low",1112,58,5,2,6,2,0
947,"Low",323,5.43,22,5,5,4,0
948,"High",453,15.87,24,9,3,2,0
949,"Low",416,52.83,17,11,9,1,0
950,"Low",1446,3.77,22,3,1,4,0
951,"Low",1712,5.2,15,4,2,0,0
952,"Low",152,48.28,22,6,3,0,0
953,"High",467,49.55,27,2,8,3,0
954,"High",594,65.12,4,11,9,3,0
955,"High",392,73.77,27,3,3,4,0
956,"Low",994,23.82,12,6,2,2,0
957,"High",1256,20.43,9,10,5,0,0
958,"Low",593,58.74,16,0,6,3,0
959,"Low",1728,91.8,1,3,1,0,0
960,"Low",1093,51.3,23,1,7,3,0
961,"High",1787,29.74,18,6,5,2,0
962,"Low",1628,24.39,22,2,8,2,1
963,"Low",386,41.43,8,10,7,0,0
964,"High",754,97.12,7,0,5,4,0
965,"Low",1809,96.65,9,3,9,5,0
966,"High",433,33.42,4,2,10,0,0
967,"Low",1346,54.23,23,7,1,3,1
968,"Low",875,60.36,25,5,10,5,1
969,"Low",1357,91.19,5,1,5,4,0
970,"High",965,51.2,10,1,4,2,0
971,"High",792,60.05,11,7,8,4,0
972,"Low",844,61.83,24,1,6,1,0
973,"High",246,19.9,22,1,5,3,0
974,"High",737,17.28,13,6,0,4,0
975,"High",120,9.37,27,5,5,0,0
976,"High",635,57.81,28,5,3,0,0
977,"Low",1516,61.13,21,6,10,0,1
978,"Low",831,43.8,13,11,5,1,0
979,"High",1503,10.72,11,2,2,3,0
980,"High",1263,82.01,22,7,8,4,0
981,"Low",109,55.46,15,3,10,4,0
982,"High",587,24.23,24,1,8,0,0
983,"Low",1717,98.55,4,4,6,3,0
984,"Low",660,56.71,8,10,1,1,0
985,"Low",1693,0.63,25,11,8,5,1
986,"High",595,41.77,29,2,2,1,0
987,"High",657,97.76,2,8,10,3,0
988,"High",650,94.21,28,4,9,3,0
989,"High",944,19.02,5,2,5,5,0
990,"High",1135,42.88,10,5,4,4,0
991,"High",1529,83.09,1,8,9,3,0
992,"Low",1710,4.51,6,0,0,0,0
993,"High",906,82.04,21,11,1,2,0
994,"Low",1602,56.5,2,8,9,5,0
995,"High",130,27.42,22,0,0,2,0
996,"High",926,41.09,24,11,6,2,0
997,"Low",1668,63.2,8,11,4,4,0
998,"High",607,80.99,2,2,1,2,0
999,"Low",982,82.25,18,5,4,0,0
1000,"High",993,0.7,24,4,6,2,0
1001,"Low",1637,32.74,17,3,5,5,0
1002,"Low",773,21.03,18,4,10,0,0
1003,"Low",1570,34.02,22,8,5,0,1
1004,"High",455,87.21,29,3,8,0,1
1005,"Low",889,8.08,1,8,6,1,0
1006,"Low",715,35.29,29,6,5,3,1
1007,"Low",678,10.53,13,8,3,4,0
1008,"High",1767,55.35,7,11,5,2,0
1009,"High",1077,12.36,19,11,3,3,0
1010,"High",1043,42.83,18,7,8,4,0
1011,"Low",99,83.59,21,6,8,1,0
1012,"High",1242,57.49,15,11,8,5,0
1013,"Low",1210,72.39,18,8,10,0,0
1014,"Low",871,67.8,15,7,6,0,0
1015,"Low",1531,50.95,19,10,1,3,0
1016,"Low",343,49.38,13,1,8,5,0
1017,"Low",1053,54.37,4,11,7,1,0
1018,"High",835,58.49,26,2,0,3,0
1019,"Low",1088,44.31,24,7,4,4,1
1020,"High",219,50.62,4,3,1,1,0
1021,"Low",70,58.91,21,0,6,5,0
1022,"Low",1399,75.77,24,0,2,4,0
1023,"High",429,23.41,9,5,6,1,0
1024,"Low",1092,4.42,22,11,3,2,0
1025,"High",546,20.11,14,10,1,5,0
1026,"Low",1781,94.97,16,6,4,5,0
1027,"Low",1618,93.62,12,8,1,3,0
1028,"High",1792,29.98,23,11,9,2,1
1029,"High",430,48.42,18,10,8,5,0
1030,"High",1475,32.99,26,9,5,1,1
1031,"High",161,88.93,18,6,0,2,0
1032,"High",116,44.39,5,11,9,1,0
1033,"High",1483,1.02,20,9,3,4,0
1034,"High",525,38.3,1,4,4,0,0
1035,"Low",225,50.26,25,3,6,0,0
1036,"Low",1220,30.6,3,11,5,2,0
1037,"High",1695,17.79,15,1,0,3,0
1038,"High",1159,39.46,18,3,4,2,0
1039,"High",209,23.97,14,3,8,2,0
1040,"Low",119,23.52,23,11,3,0,0
1041,"Low",1382,14.15,22,0,9,0,0
1042,"Low",1748,84.93,20,9,6,3,1
1043,"High",1743,99.28,26,11,9,3,1
1044,"Low",1726,19.7,14,10,5,3,0
1045,"Low",215,53.27,11,3,7,3,0
1046,"High",1682,65.62,24,10,0,4,0
1047,"Low",1738,14.73,28,8,7,1,1
1048,"Low",936,93.33,15,2,4,4,0
1049,"High",1699,76.05,9,1,4,4,0
1050,"High",908,80.76,25,1,2,4,0
1051,"High",729,41.47,16,5,4,2,0
1052,"High",1124,35.84,8,2,10,0,0
1053,"High",775,61.25,4,4,5,4,0
1054,"Low",1001,41.7,24,4,5,3,1
1055,"High",1579,51.11,21,10,0,2,0
1056,"Low",1382,56.2,15,10,4,0,0
1057,"Low",1462,43.26,10,6,3,0,0
1058,"Low",1659,6.23,28,0,4,3,1
1059,"Low",858,0.35,12,7,9,5,0
1060,"High",1396,6.56,15,3,0,5,0
1061,"Low",126,54.04,5,4,0,4,0
1062,"High",1308,54.75,9,8,1,4,0
1063,"Low",1147,30.04,6,3,3,1,0
1064,"Low",1520,32.94,2,1,5,4,0
1065,"Low",832,35.77,25,9,2,0,1
1066,"High",1505,57.61,4,11,0,1,0
1067,"Low",951,90.15,27,8,7,2,1
1068,"High",165,79.77,21,0,8,0,0
1069,"High",1378,38.48,17,10,9,2,0
1070,"High",1158,27.07,23,2,9,5,0
1071,"High",485,32.16,7,5,6,2,0
1072,"Low",1738,49.89,2,1,9,3,0
1073,"High",475,7.83,19,6,7,4,0
1074,"Low",1502,46.62,14,0,1,0,0
1075,"Low",683,5.72,11,7,7,4,0
1076,"High",778,53.71,22,6,0,0,0
1077,"High",387,76.73,2,10,1,5,0
1078,"High",468,20.21,29,10,1,4,0
1079,"High",1037,48.91,3,10,9,0,0
1080,"High",1233,76.31,19,2,8,4,0
1081,"High",407,88.92,1,11,1,2,0
1082,"High",1813,34.02,29,8,2,3,1
1083,"High",14,2.15,30,8,6,2,0
1084,"Low",1081,93.73,20,6,7,3,0
1085,"High",641,6.23,20,9,8,0,0
1086,"Low",404,9.61,6,1,3,4,0
1087,"High",1792,60.22,7,7,8,0,0
1088,"High",416,13.42,26,8,3,4,0
1089,"High",1683,20.99,26,9,6,0,1
1090,"High",297,41.82,9,6,4,2,0
1091,"High",471,28.39,22,1,0,3,0
1092,"High",1356,87.94,1,2,2,0,0
1093,"Low",306,5.36,25,10,3,1,0
1094,"High",713,40.02,20,1,10,3,0
1095,"Low",466,99.42,24,1,5,1,0
1096,"Low",352,0.79,13,2,4,1,0
1097,"Low",935,48.77,15,8,7,4,0
1098,"Low",359,48.12,25,0,7,0,0
1099,"High",243,76.77,10,5,8,1,0
1100,"High",802,77.17,15,11,6,3,0
1101,"High",1432,41.6,4,11,3,2,0
1102,"High",1288,83.03,6,11,4,3,0
1103,"High",23,82.4,12,7,5,4,0
1104,"Low",643,51.65,1,7,4,3,0
1105,"High",1691,3.48,14,8,7,2,0
1106,"Low",860,24.62,2,5,9,3,0
1107,"High",1466,14.05,24,4,1,1,0
1108,"Low",616,82.56,30,2,8,1,1
1109,"High",1145,47.31,13,10,3,3,0
1110,"Low",334,20.79,19,9,6,1,0
1111,"Low",1700,24.64,8,3,8,2,0
1112,"High",1600,44.01,8,5,1,2,0
1113,"High",1475,25.26,10,10,2,1,0
1114,"High",922,46.33,23,6,2,4,0
1115,"High",1766,57.43,15,10,5,1,0
1116,"Low",1768,45.14,29,0,3,0,1
1117,"High",1112,2.1,27,11,5,5,1
1118,"Low",1198,20.05,4,6,5,1,0
1119,"Low",824,26.97,3,4,3,1,0
1120,"Low",1650,83.69,4,9,9,0,0
1121,"Low",1346,36.92,16,7,5,3,0
1122,"Low",1678,39.13,8,7,5,2,0
1123,"High",1448,88.11,19,8,5,3,0
1124,"Low",103,88.72,25,2,7,2,0
1125,"High",386,67.12,16,3,4,4,0
1126,"Low",9,78.61,9,1,8,4,0
1127,"High",746,65.47,5,9,0,2,0
1128,"High",1731,94.08,2,1,10,1,0
1129,"High",1389,76.74,9,3,2,5,0
1130,"Low",1277,33.57,25,10,2,0,1
1131,"Low",338,2.55,13,9,8,2,0
1132,"Low",1367,80.54,7,10,9,5,0
1133,"High",1725,44.44,22,3,1,0,0
1134,"Low",1041,97.64,5,10,0,0,0
1135,"Low",869,80.33,28,0,9,2,1
1136,"High",233,18.57,18,6,3,1,0
1137,"Low",938,18.27,14,5,3,4,0
1138,"High",1170,16.13,3,2,1,0,0
1139,"High",1386,5.71,28,10,3,5,0
1140,"Low",867,29.17,28,7,7,5,1
1141,"Low",961,87.43,22,1,5,4,0
1142,"Low",1522,32.81,17,4,8,3,0
1143,"Low",245,57.72,9,8,8,2,0
1144,"Low",446,83.36,23,11,6,3,1
1145,"Low",1644,71,16,8,2,3,0
1146,"High",1755,56.31,16,10,8,4,0
1147,"Low",1767,52,10,0,10,1,0
1148,"Low",933,36.57,28,6,7,0,1
1149,"Low",1537,67.44,29,10,6,1,1
1150,"High",1069,3.82,29,1,0,5,0
1151,"High",1633,0.62,13,4,10,1,0
1152,"Low",120,81.38,14,6,8,2,0
1153,"High",742,42.24,7,7,0,1,0
1154,"Low",1281,52.73,27,11,5,3,1
1155,"High",209,89.84,25,11,0,0,0
1156,"High",1033,60.3,16,3,8,1,0
1157,"High",1135,17.53,28,2,7,3,0
1158,"Low",129,34.49,15,9,5,5,0
1159,"Low",239,5.09,30,2,8,1,1
1160,"High",1346,15.57,7,4,10,0,0
1161,"High",713,84.67,1,4,2,1,0
1162,"Low",437,23.88,16,8,5,2,0
1163,"Low",1540,29.67,23,2,8,3,1
1164,"Low",1367,7.82,29,8,2,4,1
1165,"High",1692,89.22,27,0,7,4,0
1166,"High",286,18.29,9,3,0,1,0
1167,"Low",737,69.34,25,5,6,2,0
1168,"High",930,70.41,24,9,0,5,0
1169,"Low",1320,68.76,12,1,4,0,0
1170,"Low",357,36.95,17,4,3,5,0
1171,"High",1739,89.47,30,5,4,4,1
1172,"Low",481,64.39,13,10,8,2,0
1173,"High",646,60.31,2,11,1,3,0
1174,"Low",570,22.72,14,9,1,5,0
1175,"High",838,8.92,24,8,8,4,0
1176,"Low",1584,58.55,19,11,7,3,1
1177,"High",245,31.44,5,4,2,0,0
1178,"High",1477,63.48,1,1,10,5,0
1179,"High",138,69.9,3,3,4,3,0
1180,"Low",479,31.03,24,0,8,3,0
1181,"High",935,86.65,29,2,5,4,0
1182,"Low",1537,23.09,5,6,10,5,0
1183,"Low",916,71.41,24,10,6,0,1
1184,"Low",1498,92.73,22,9,6,4,1
1185,"Low",1092,10.16,28,9,3,3,1
1186,"High",1334,3.92,3,10,9,1,0
1187,"High",797,29.08,25,10,10,4,0
1188,"High",453,77.78,25,10,4,1,0
1189,"Low",1360,36.64,3,3,1,0,0
1190,"Low",183,29.78,22,8,0,5,0
1191,"Low",1146,92.45,26,7,2,4,1
1192,"High",772,47.31,4,2,1,3,0
1193,"Low",1270,23.58,14,11,3,2,0
1194,"Low",130,7.06,29,1,6,3,0
1195,"High",1079,66.56,13,4,8,0,0
1196,"High",619,97.32,1,6,5,1,0
1197,"High",1122,68.87,4,10,10,1,0
1198,"Low",1749,88.57,20,11,2,5,1
1199,"Low",682,58.5,27,10,8,5,1
1200,"Low",216,49.06,11,9,7,5,0
1201,"Low",1178,46.91,10,0,1,0,0
1202,"High",1259,9.23,6,3,10,3,0
1203,"Low",834,72.52,26,2,6,1,0
1204,"High",805,24.53,17,0,8,3,0
1205,"Low",970,28.81,20,8,7,1,0
1206,"High",1455,25.11,25,9,2,3,0
1207,"Low",1752,50.58,2,7,3,5,0
1208,"Low",945,28.06,16,1,5,5,0
1209,"High",600,89.96,16,8,2,1,0
1210,"High",575,66.81,4,9,4,3,0
1211,"Low",1671,27.01,23,6,5,0,1
1212,"High",136,13.17,10,6,8,3,0
1213,"Low",1564,24.65,15,3,10,0,0
1214,"High",738,76.26,6,0,0,3,0
1215,"High",779,94.85,27,9,3,0,0
1216,"High",599,49.76,20,10,7,5,0
1217,"Low",413,3.51,19,7,4,0,0
1218,"Low",558,75.13,6,0,4,2,0
1219,"High",294,71.75,27,10,5,2,0
1220,"High",594,66,25,11,3,3,0
1221,"High",571,41.58,20,5,0,1,0
1222,"Low",346,3.64,29,9,6,4,1
1223,"High",693,57.4,18,11,0,4,0
1224,"Low",318,86.75,1,1,4,5,0
1225,"High",817,80.96,11,0,6,2,0
1226,"Low",414,32.24,22,9,3,4,0
1227,"High",171,8.49,13,11,7,4,0
1228,"High",64,61.7,21,2,3,0,0
1229,"Low",343,43.29,2,6,10,3,0
1230,"High",1310,15.95,25,1,7,0,0
1231,"High",703,89.14,15,8,1,4,0
1232,"Low",398,35.03,1,2,6,3,0
1233,"High",1454,69.15,26,0,8,1,0
1234,"High",781,74.7,23,3,8,0,0
1235,"High",626,54.97,23,9,5,1,0
1236,"Low",1805,65.09,30,6,2,5,1
1237,"High",1147,96.21,10,1,7,5,0
1238,"High",1445,66.19,22,3,6,3,0
1239,"High",933,8.75,16,9,9,1,0
1240,"High",1730,87.35,25,5,0,4,0
1241,"Low",87,66.36,18,4,9,1,0
1242,"High",1696,51.11,21,7,2,2,0
1243,"Low",327,87.89,30,8,4,0,1
1244,"High",1167,51.85,21,7,7,4,0
1245,"Low",1449,38.06,25,6,1,1,1
1246,"Low",1688,65.65,17,7,5,2,0
1247,"High",477,48.61,12,1,6,3,0
1248,"High",677,25.88,2,6,3,5,0
1249,"High",1388,42.87,12,5,5,0,0
1250,"High",1387,13.38,17,8,6,5,0
1251,"Low",68,31.26,10,2,4,1,0
1252,"Low",130,41.88,26,0,2,1,0
1253,"High",884,15.84,21,10,4,4,0
1254,"High",646,17.11,1,0,4,4,0
1255,"High",1777,28.16,17,0,9,3,0
1256,"Low",134,23.21,11,6,0,2,0
1257,"Low",1397,17.03,19,2,0,0,0
1258,"Low",1137,96.84,21,10,1,5,0
1259,"High",1765,99.26,18,10,8,2,0
